Year,"Edinburgh, United Kingdom","London, United Kingdom","Cairo, Egypt","Beijing, China","Sydney, Australia","New York City, USA","Santiago, Chile","Berlin, Germany","Riyadh, Saudi Arabia","Astana, Kazakhstan"
1850,16.71530692089173,31.59813741220064,18.40479850226676,12.29775280344904,3.18620808931568,16.82217577725685,4.460571953416813,16.79248305873784,57.93804476276711,8.899362338276717
1851,15.60677882596553,31.75033239792091,18.29815993068337,11.66384107673985,3.045166728929567,17.91630204416177,4.174136838858768,16.50559123343028,59.65433884598375,10.4581387854836
1852,16.07604796600592,30.45452636583569,18.58354590838283,11.60421098516827,3.336211616201023,18.45702334563502,4.233285342807249,17.37099288229582,61.33099892066836,8.769821403168331
1853,16.40220992302267,31.86685627959704,18.04728506134688,12.0326715506376,3.322771768021734,17.81991956683441,4.038822908586316,17.1421839887044,61.67402485446192,9.517761436949813
1854,17.02691804396899,36.44426071135271,18.71942015801841,11.84894084376777,2.837990236377274,18.02903207572174,4.236709288080039,18.00189967210838,62.25925745697646,8.818948173281983
1855,17.00180779662896,33.23911981907975,17.96344534344359,11.8370598128795,3.003427466879481,18.62319621681014,4.577800993839246,18.22132436525317,66.70725150604947,9.287556775924857
1856,17.60936787902844,34.30237422871139,18.32379536456052,11.70990354613381,3.154123805746906,20.40345216837341,4.432273593657853,19.30116591926248,60.96979011267408,8.413567863447838
1857,17.13723632749608,36.21996251096859,18.87416261684028,11.42258087122415,3.496488838103329,19.34303863914663,4.384547392167133,19.01279014221248,63.71289145269161,8.47429228607481
1858,16.36920741273018,33.67775885935817,18.14835979711357,11.36732211502933,3.320150413599017,20.18531507192618,4.234083676413317,19.04247573668471,62.13159925071546,9.826575178251378
1859,17.35714984938515,33.82212815809183,18.80117853999188,12.49785033501418,3.185364973662964,21.42664617621537,4.267591199103228,20.08042809761887,62.91491744234752,9.2999720091189
1860,17.9495695068477,35.90357285029405,18.02999945909129,12.17448808779669,3.124464523781329,21.26143490545163,4.346084682526082,19.16726423316499,60.51057903065112,9.090813156764602
1861,18.62477235184402,37.15314499691631,17.96194685525385,12.24281286445167,3.594452114791536,20.16296755700018,4.49099699224553,20.42609139473651,60.33931116742445,8.993987571784329
1862,18.84525545128837,36.74420970604181,18.30911853996834,11.6890145509877,3.323095094430677,21.05942485384502,4.403559208921335,21.75661587644534,65.02294212475728,9.808939325802887
1863,18.31735588398878,38.30418407323568,19.30194184899873,10.90625407834776,3.035877729513954,20.73967608503806,4.321472665990523,21.88703732036991,65.87219478755834,7.892224369110704
1864,19.12385800924639,40.53975618201671,20.37901080781204,11.42339482777489,3.216787175954718,20.89354165825386,4.437545841752659,22.26381389953628,66.33561289524502,8.0957903454451
1865,19.21421432351385,39.62277949523063,19.10981988366824,10.69041272182548,3.533226633976287,22.6458615474846,4.583006690927596,21.7690318933088,56.76491350153157,8.704289993304643
1866,19.09314176760837,38.72211264048822,19.03613499974384,11.56292101867759,3.110750328135564,22.60976944718312,4.70490246017476,21.89128211924915,66.90172681285482,8.438642496860938
1867,18.80567034519791,38.00863450532216,18.57815214661011,11.47212011728287,3.310928484765682,22.86693507683472,4.700013371991659,21.40840387852748,64.09208168908874,9.742093574979453
1868,19.52847157525238,39.6130361748674,17.90503687093126,12.01469810147929,3.193914392608948,22.92411100891292,4.758391277836553,23.06899670089039,63.72593780497629,9.075071318149664
1869,20.37193038852896,40.18277971910311,18.22385927926329,11.19818406033048,3.502387148222127,24.72108343807382,4.778469114617962,23.34751573225143,61.49819370827763,9.332052096890328
1870,20.73983790943096,40.18676932812431,19.30243495971959,11.70356092591874,3.301696882525558,24.22493341028646,4.838998014645867,22.96865299220006,66.90748974969641,9.664824301985837
1871,19.44300316475217,39.07919305547605,20.30820486862624,10.46185831005274,3.58786274642365,23.74881853556939,4.886108423018369,22.64137082165459,70.4250229165997,8.177029954276541
1872,20.28376207572472,40.66290506934828,19.13811366391789,11.13806284959542,3.488026309911231,26.17171566280503,4.691260796498267,24.1888246294725,65.14135186617334,8.716982825378098
1873,20.40091258837246,43.1293148677575,19.2343294527024,12.33032787026343,3.368451057144424,25.18968488825893,4.775270015496699,25.51347336613362,64.8354697584726,9.484792437099674
1874,20.44525936225459,43.94474291038351,20.37778910720747,11.81115025870735,3.282497214182731,24.25122190272078,4.949591184074986,25.77245629844466,64.64745326602369,11.17667359608453
1875,19.70625596915199,40.24957686892126,20.2409879758818,11.23474998586713,3.185892066123996,23.35709373783083,5.12514620289322,24.80299861612895,65.86611001292361,9.19199376045114
1876,20.35947640270727,40.89627500021045,19.51032902946295,11.69691527180915,3.403193318462595,24.91093637765367,4.982361795150291,25.18308980693212,57.8641326875439,8.490275448880462
1877,21.12095407850925,45.9338250038681,19.67720288107913,11.26565793463785,3.440777681293845,25.22224463865433,4.938541329805549,27.55203775690043,66.57514163507747,9.647853754594397
1878,21.07528244512858,40.12629997410281,22.07715965049475,11.41871288443626,3.381237249320111,23.69880700974498,4.853202832638561,25.40174692411911,72.16079950002987,8.5288072684928
1879,20.2163450444579,41.17263188833393,20.26861305157378,10.7377495190075,3.385086071084222,23.88951912085934,4.88972841927998,25.54887790504289,63.60070013873471,9.735423205861279
1880,21.09615551783289,45.62342887006513,19.18834811205626,11.79134991290386,3.314886182146248,25.08719040271372,5.039905029369083,28.36284491879331,62.81745401039834,8.556008648625564
1881,22.75931083513626,47.89577210134992,19.37203836999073,11.09003251682556,3.697836612929061,25.45695854243105,5.082442259769116,27.48344469439212,64.79104983918235,9.557144221036637
1882,22.42080223625904,47.55128293941965,19.79818078430256,12.27605130047866,3.14795284719477,25.14508166977089,5.059885438505336,29.73295806616906,63.96059411940556,10.57662131209755
1883,21.85728740876536,45.41869016129819,19.91302280917068,11.41265325648826,3.319673086237587,24.04458358130573,5.085181328298671,29.65280428350157,62.37736296647451,8.043545568728426
1884,21.07118072190259,44.98669929756328,21.4282560839447,11.48949645662748,3.386370529149043,24.39578401318859,4.935808590402576,29.57466265441744,58.83626266912307,8.815388047741004
1885,20.55726082796016,47.74273624786954,19.67429228944155,11.643822342799,3.562551145530417,23.8816340995546,5.360609760233697,30.91444581826593,62.81131850006648,7.518866953124085
1886,21.56996886381745,43.82398299177999,20.55880825759481,11.46942011386952,3.316555037518029,24.98408640299379,5.304347894900804,29.9506204881156,66.08456640343167,7.787712306275201
1887,21.38369345159036,42.89162945289799,21.78603553387725,11.89467852386448,3.56791313706441,24.52090750189411,5.446945990592607,29.41953051594441,67.4566629810087,9.042276344137862
1888,20.69787792976896,44.89607720127864,20.24861490624224,11.57270938547592,3.510387559245631,25.20241417878447,5.463916195054946,29.8632976036773,60.01533532403928,9.879203206989017
1889,23.20370693672659,47.52011064438744,20.27574935790788,11.26072539287983,3.729771676732893,23.2561764085841,5.481569743528315,30.13465917537,61.71927893562352,9.805348938512534
1890,22.76156934245073,46.59183168422244,20.44714635877698,11.84271195026067,3.656785140495877,25.96545798023854,5.673930362458815,33.64615842526754,65.7838511828956,9.26395214943432
1891,23.62652274314159,49.52095603074644,21.12461365916745,11.79391715157578,3.487049033192044,26.08574043969996,5.478660305023285,33.0077524919387,63.24990868888215,9.20936747852607
1892,22.24499351441092,47.52882868352358,21.19878939556154,12.8416342400068,3.655068316240455,25.92681524891436,5.632824445565119,33.28772748530599,69.4485188972644,8.819039843014362
1893,20.58964963322698,43.79869332240096,20.26023611287426,11.72582854831387,3.76056256433818,27.59603949610882,5.546146540919974,32.83404279407393,60.34439335578897,9.654360861442825
1894,22.44012453926431,50.28124621022508,21.11450205233546,12.02250639095156,3.667151074829734,25.54080600444307,5.792894208247668,35.97082186747741,63.29550899920248,9.842429092205867
1895,21.36349673537025,48.13260697516311,21.06747121441017,11.37497710529025,3.65740048190365,24.87125615722211,6.206163670079309,33.04190109883549,64.88707017821393,7.869618996919676
1896,22.75927550539836,47.71045321833691,21.60632455806631,11.68673788412587,3.537452092874134,25.4718748410676,6.11373481912612,32.8026969353967,69.41424435935551,8.03422988141972
1897,23.53326320264585,51.92180899302029,22.95223105631741,12.01117976775411,3.687001167336153,26.05919309445065,5.863055259463296,38.83866134547263,62.34363310131651,9.147579455444076
1898,24.51499456119615,58.28238682274195,21.30937061484832,11.88179304109946,3.844856440365563,27.07866378145527,5.80627387820424,40.497127554335,69.30560775283634,8.443930211380739
1899,24.22409591263586,52.08306657966611,20.93508063051387,11.84860268944027,3.496452608514456,25.6858628571411,6.269166347498541,38.77758875209153,64.71862983479504,9.506433850090742
1900,25.8761425566062,56.13833923961499,20.46000303675265,12.47268317877212,3.62635785474555,26.99658262933607,6.585060630607005,44.34102570346302,70.83327145476649,10.04486825853322
1901,23.67850501694814,52.57484849880525,21.81232116798394,12.09069378031499,3.887134822205456,28.25839691612753,6.52752718215663,39.95795243056294,70.79663219838723,9.142892830115576
1902,23.76482972154616,52.93316339134035,21.75817804443819,12.01384149881314,3.411902994732368,30.06751693023987,6.680232844632787,38.73171487060556,65.82203910367485,10.3223266669784
1903,22.12863467981977,50.64493878335748,22.38995794714739,11.49505349609638,3.78026804604024,29.36719899616981,6.774051646954212,40.52378167311643,65.12466704676596,9.109273793268184
1904,23.11671792845858,53.29864251228051,21.9117327388775,11.3874298666231,3.719012395372393,31.64601984830144,6.874337202853203,40.82375411699357,69.77709344259316,9.91228034452231
1905,23.47829396974578,52.57000646936929,22.01064322950748,12.59703728698181,3.967564549133903,30.71452967736083,7.152462136287438,43.44537807902881,68.95227259727376,8.61618467366571
1906,23.74832182189176,54.36394731635042,21.29426988779128,12.70621200380467,3.932340685306981,32.26750654140528,6.879458515270152,43.04636275583282,60.46364149304475,9.323164454341125
1907,24.92761909891206,56.51729703109557,22.93726924252325,13.49632028597465,3.699383370497579,33.73040676449395,6.986902468222355,45.75401264644604,68.95441589119096,10.53757967672538
1908,23.97128099604233,56.50885958876498,21.99856778450972,11.68788835875582,3.6764330683963,31.35053158969162,7.333495716342357,47.51710146930831,67.23868610538109,9.287495379877623
1909,23.7261509442828,58.08432595656112,22.55874912392594,12.44291258188231,3.696785232042572,34.1597610249225,7.60994354158402,47.33991833822759,70.13757151141239,9.54065991361295
1910,23.73021615898602,59.01127249460689,24.06005181956509,12.33659536152633,3.766652173333719,33.61786433675972,7.651650638140607,45.91808653780325,71.85671254385974,10.01741263453045
1911,23.99283294939944,57.22229106931947,22.91297324855682,12.63024771020414,4.210536603267998,33.87687951985232,7.748082345566657,46.70471378819374,58.19552906136068,8.589655683087157
1912,24.67577368045514,61.28017171463788,23.23984622861895,13.10987208283121,4.054777504777792,34.6002586337768,7.376569814304018,48.4112661142022,68.51289526044054,9.99493225512626
1913,24.82978295516561,57.88301240469458,23.19981311850419,12.75478375322604,3.770764343075875,36.4587685315833,7.743917331493206,49.50288490199102,64.83790691516948,9.339072790749773
1914,24.71845074177237,58.62530917648512,22.66701335795185,13.50427693459267,3.801649179111951,33.94196711350038,7.797669172056171,44.12182563737966,73.70652702038892,10.27343985480883
1915,24.60653362803152,57.65490334581293,23.96208414470567,13.4688132652839,3.94443409678529,33.39364665607627,7.906151012551739,42.73813818835748,67.58006024448093,10.45391656039842
1916,23.97267562521541,60.18930728181372,21.75302953861735,14.18632760309364,3.709158664473829,35.20819462209752,7.931508052814889,45.37741662116063,71.44196758622607,11.25220986092225
1917,23.71010055008639,58.91250739694321,22.86294733117223,13.55280001619794,4.018776564036475,36.32228113101226,8.21205433734638,48.82815446791766,66.91693856536544,11.12764844396854
1918,22.85593372192819,53.22607773943687,22.73126043494551,14.13952197952001,3.95355183797103,36.80813035593906,8.004986291142101,43.04504197057418,65.40389314688223,9.63022894644934
1919,22.60576293355533,53.95632380274461,22.57672501903689,14.58175470160621,3.694832465169577,31.48964415317443,8.01175092967407,35.55254424408545,61.51694690028891,8.843217593364072
1920,22.43361309309661,56.02823456225271,22.76766957651105,14.15365147348084,3.782096193067018,35.47351131844709,8.239161203472076,39.37416146519326,66.4114635141087,9.61103106005562
1921,19.0031822247347,40.80315674074897,24.65698458360231,13.29741845571378,4.223216031368421,32.99804059194965,8.487978593539319,39.34276764160787,67.74192666952825,9.50188751030805
1922,21.51580077324001,51.90245356081173,22.84496949539847,13.45133759092126,3.941847335250853,30.21747230219683,8.61181145302888,39.7119519234663,64.6964435410931,9.162548628918524
1923,22.58540476852737,51.41168601824072,23.02289573681997,14.90648262933154,3.748539233341174,34.36362052242093,8.984808506780979,35.74249670480468,63.69332702052783,9.620988655666315
1924,22.21454543400409,55.36055057731791,23.12513674965534,13.16027514909443,3.948542163673534,31.93095027222406,9.486734030228488,41.68796415652594,70.67739064411981,9.832890370818374
1925,21.69829649655789,54.33777956278298,23.37107253012743,14.30095355489257,4.163607825873958,31.97190758548273,9.68829952586109,39.76035694045954,61.71399042740973,9.912205153889497
1926,16.51642980122496,34.67488915632139,23.69019480289984,13.86872171459487,3.944626566035391,33.49177864635741,9.988914041352466,37.82619593205505,62.20411078819466,9.510181344285574
1927,22.65144825427028,55.25407586576879,23.51300113384807,14.39365723033917,3.802295032612369,31.40498634412694,9.9741070504691,40.79928408491882,59.20145199294343,10.86109886309232
1928,21.29381833409794,52.4283605957395,23.07308269679324,14.23424999385706,3.904430215506011,30.96719830450159,10.10169911106608,40.78416437067035,64.31893659995303,9.176068700825844
1929,22.33654153740432,56.20726453263931,23.20264138847975,14.69338017085381,3.849267891495706,32.00070844452398,10.50546682254939,40.25055182166611,65.06988925164539,9.705010248672957
1930,23.01905242752941,54.75312765746339,23.42116401915755,14.53417034859234,3.891359479789114,26.938527846519,10.42547875872088,40.26201540112783,65.68239261542925,9.781299626955253
1931,20.92403062338329,52.81358916409388,23.05167435024178,14.45482490840948,3.803591450373561,24.65692295307329,10.45994575471883,36.07557952726664,72.18253362138579,10.55191135998643
1932,20.56624743439411,50.25994063590517,22.95970270209446,14.47133250396953,3.775420153066402,22.51193145205692,9.655490707034117,32.76919373673378,60.11101611437552,9.978477100593432
1933,19.80772796022897,48.80120782355104,21.9366564872564,14.92564268285227,3.610582598124222,23.73748598865722,10.40037639513039,33.46435673607218,61.94215366660141,9.356618949421012
1934,22.25189278518667,51.35785857944825,23.92711122928731,14.6029164816542,3.78738522047206,23.30402833795171,10.58585765637296,38.38826190433333,67.31845796006718,9.336079396373114
